source,split,image,image_path,caption,category,caption_length
NWPU,train,NWPU_270.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_270.jpg,"This airport has only one runway, And here is a row of planes parked in the open space .",airport,19
RSICD,train,RSICD_7652.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7652.jpg,many green plants and farmlands are in two sides of a curved river .,vegetation,14
UCM,train,UCM_1718.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1718.jpg,There are some mark lines and a number on the straight runway .,airport,13
NWPU,train,NWPU_11970.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11970.jpg,The industrial area has some neatly arranged white workshops .,infrastructure,10
UCM,train,UCM_202.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_202.jpg,It is a very old baseball diamond with sand and weeds .,unknown,12
RSICD,train,RSICD_3971.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3971.jpg,the triangle industrial contains several white and grey warehouse,infrastructure,9
NWPU,train,NWPU_24049.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24049.jpg,Countless ice cubes of various sizes are tightly connected into a large piece floating on the deep blue sea and covering the sea .,water,24
NWPU,train,NWPU_31258.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_31258.jpg,A plane parked on a clearing .,airport,7
NWPU,train,NWPU_19762.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_19762.jpg,There are several towering trees on one side of the railway .,transportation,12
RSICD,train,RSICD_10145.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10145.jpg,two large storage tanks are around with green meadows next to many trees .,vegetation,14
UCM,train,UCM_1071.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1071.jpg,Many boats docked in lines at the harbor and the water is deep blue .,water,15
RSICD,train,RSICD_7205.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7205.jpg,in front of the train station tracks pass through the residential area .,urban,13
NWPU,train,NWPU_23324.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_23324.jpg,The runway goes through the lawn and some center line markings are on the runway .,airport,16
UCM,train,UCM_1411.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1411.jpg,A road go across another two vertically with some cars on the roads and surrounded by plants .,transportation,18
NWPU,train,NWPU_18240.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_18240.jpg,The palace is on the grass surrounded by buildings and trees .,vegetation,12
NWPU,train,NWPU_8413.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_8413.jpg,A narrow and curved earth road passes through the dense forest .,vegetation,12
NWPU,train,NWPU_30283.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_30283.jpg,The wetland consists of bare land and green plants .,vegetation,10
NWPU,train,NWPU_8896.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_8896.jpg,This is a dense forest .,vegetation,6
RSICD,train,RSICD_10482.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10482.jpg,a playground is surrounded by some green trees and buildings .,vegetation,11
UCM,train,UCM_1705.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1705.jpg,It is a straight runway with some white mark lines on it .,airport,13
RSICD,train,RSICD_1455.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1455.jpg,a bridge is over a dark green river with green trees and several boat in two sides respectively .,vegetation,19
RSICD,train,RSICD_4876.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4876.jpg,it is a piece of yellow mountain .,landscape,8
NWPU,train,NWPU_2927.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_2927.jpg,The water under the bridge is green .,vegetation,8
NWPU,train,NWPU_10264.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_10264.jpg,The picture shows a road with a nearly 180-degree turn .,transportation,11
RSICD,train,RSICD_10555.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10555.jpg,several large buildings and several green trees are near a playground .,vegetation,12
NWPU,train,NWPU_18684.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_18684.jpg,The palace is on the bare land next to some trees .,landscape,12
RSICD,train,RSICD_1294.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1294.jpg,a bridge is on a river with green trees and roads in two sides .,vegetation,15
UCM,train,UCM_1979.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1979.jpg,There are two white storage tanks on the ground with a road beside .,transportation,14
UCM,train,UCM_1237.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1237.jpg,Some houses arranged neatly in the medium residential area .,urban,10
NWPU,train,NWPU_12896.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_12896.jpg,There are many houses with brown roofs and many trees around the intersection .,unknown,14
NWPU,train,NWPU_3616.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_3616.jpg,Some disconnected chaparrals of different sizes grow in the desert .,landscape,11
RSICD,train,RSICD_7643.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7643.jpg,many green trees and meadows are in two sides of a curved river .,vegetation,14
UCM,train,UCM_778.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_778.jpg,Lots of dark green trees constitute a dense forest .,vegetation,10
RSICD,train,RSICD_1972.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1972.jpg,several buildings are near a road with several green trees in two sides of it .,vegetation,16
RSICD,train,RSICD_7799.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7799.jpg,some green trees and farmlands are in two sides of a curved river .,vegetation,14
NWPU,train,NWPU_6488.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_6488.jpg,The buildings downtown are very tall .,urban,7
RSICD,train,RSICD_3985.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3985.jpg,there are some white and blue workshops in the industrial .,infrastructure,11
NWPU,train,NWPU_6438.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_6438.jpg,A commercial area with a triangular building is surrounded by some roads .,urban,13
NWPU,train,NWPU_3705.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_3705.jpg,Some green chaparrals of different sizes grow on the wasteland .,vegetation,11
RSICD,train,RSICD_10133.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10133.jpg,a playground with four basketball fields next to it is surrounded by some green plants and buildings,vegetation,17
RSICD,train,RSICD_8421.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8421.jpg,many green trees are around a building with a swimming pool .,vegetation,12
NWPU,train,NWPU_28207.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_28207.jpg,The tennis court is on the grass next to some buildings and trees .,vegetation,14
RSICD,train,RSICD_4055.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4055.jpg,many buildings are in an industrial area .,infrastructure,8
RSICD,train,RSICD_4390.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4390.jpg,two green trees are near a piece of green meadow .,vegetation,11
RSICD,train,RSICD_6363.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_6363.jpg,several ponds are surrounded by bare land and green trees.,vegetation,10
RSICD,train,RSICD_5249.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5249.jpg,a park with many green trees are near a river .,vegetation,11
RSICD,train,RSICD_9697.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9697.jpg,several buildings with parking lots and many green plants are near a viaduct .,vegetation,14
UCM,train,UCM_102.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_102.jpg,It is an airplane taxiing on the runway .,airport,9
RSICD,train,RSICD_2745.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_2745.jpg,many buildings and some green trees are in a dense residential area .,vegetation,13
UCM,train,UCM_624.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_624.jpg,Lots of houses arranged neatly and a swimming pool in the middle of them .,unknown,15
RSICD,train,RSICD_4339.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4339.jpg,some small trees are scattered in a piece of green meadow .,vegetation,12
NWPU,train,NWPU_19340.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_19340.jpg,There are many different colored cars in the parking lot .,unknown,11
UCM,train,UCM_1014.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1014.jpg,Lots of boats docked in lines at the harbor .,water,10
NWPU,train,NWPU_14776.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_14776.jpg,A dense meadow with many green grass .,vegetation,8
RSICD,train,RSICD_8053.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8053.jpg,some buildings and green trees are near a playground with five basketball fields in a school .,vegetation,17
RSICD,train,RSICD_4731.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4731.jpg,on both sides of the road are grey roofs of house .,urban,12
NWPU,train,NWPU_28776.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_28776.jpg,The bare and green terrace is next to some trees .,vegetation,11
NWPU,train,NWPU_1734.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_1734.jpg,Big trees shade the left side of the basketball court .,unknown,11
UCM,train,UCM_1452.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1452.jpg,A road go across another roads with lawn surounded .,transportation,10
UCM,train,UCM_1707.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1707.jpg,A straight runway with some mark lines on it .,airport,10
RSICD,train,RSICD_8379.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8379.jpg,a building and several cars are near many green trees .,vegetation,11
NWPU,train,NWPU_17153.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_17153.jpg,This mountain is completely covered by vegetation .,vegetation,8
RSICD,train,RSICD_3070.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3070.jpg,several ripples are in a piece of yellow desert .,landscape,10
RSICD,train,RSICD_486.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_486.jpg,it is a piece of yellow desert .,landscape,8
RSICD,train,RSICD_980.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_980.jpg,many white waves are in an ocean near a beach and some green trees .,water,15
UCM,train,UCM_1233.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1233.jpg,A medium residential area with some houses have swimming pools in the backyards .,urban,14
RSICD,train,RSICD_7364.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7364.jpg,several buildings and many green trees are in a resort with a parking lot and two tennis courts .,vegetation,19
UCM,train,UCM_1831.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1831.jpg,A villa with grey roofs is in the sparse residential area .,urban,12
RSICD,train,RSICD_3581.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3581.jpg,many green trees are in a forest .,vegetation,8
RSICD,train,RSICD_438.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_438.jpg,it is a piece of bare land.,landscape,7
UCM,train,UCM_1837.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1837.jpg,A villa is surrounded by lawn in the sparse residential area .,urban,12
RSICD,train,RSICD_107.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_107.jpg,many planes are in an airport .,airport,7
NWPU,train,NWPU_17009.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_17009.jpg,The mountain is full of bare land with lines of green plants .,landscape,13
NWPU,train,NWPU_11584.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11584.jpg,There are some green lawns around the harbor with some ships .,vegetation,12
NWPU,train,NWPU_4911.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_4911.jpg,There are some light green circle farmland .,vegetation,8
RSICD,train,RSICD_4297.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4297.jpg,it is a piece of green meadow .,vegetation,8
UCM,train,UCM_170.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_170.jpg,An airplane with grey fuselage is stopped at the airport .,airport,11
RSICD,train,RSICD_10375.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10375.jpg,a playground is semi-surrounded by some green trees and many buildings .,vegetation,12
NWPU,train,NWPU_136.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_136.jpg,There is an airport in the middle of the field .,vegetation,11
NWPU,train,NWPU_9522.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_9522.jpg,The freeway is between the bare land and grass .,vegetation,10
RSICD,train,RSICD_10513.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10513.jpg,"the playground can be divided into two parts, including a football field and a basketball court, with several buildings nearby .",vegetation,21
NWPU,train,NWPU_29778.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29778.jpg,There are some buildings and several chimneys on the thermal power station .,infrastructure,13
NWPU,train,NWPU_16177.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_16177.jpg,The mobile home park has some neatly arranged mobile homes and bare trees .,vegetation,14
NWPU,train,NWPU_21370.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_21370.jpg,Many neatly arranged green and tan mixed rectangular farmlands of different sizes .,vegetation,13
RSICD,train,RSICD_9472.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9472.jpg,a large white storage tank is placed in the factory .,infrastructure,11
UCM,train,UCM_657.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_657.jpg,This is a dense residential area .,urban,7
NWPU,train,NWPU_12188.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_12188.jpg,The industrial area has two white workshops and some open areas .,infrastructure,12
NWPU,train,NWPU_24024.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_24024.jpg,"Countless ice cubes of various sizes are connected into a loose, Large piece floating on the blue sea .",water,19
RSICD,train,RSICD_10056.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10056.jpg,many long buildings and some green trees are around a playground .,vegetation,12
UCM,train,UCM_859.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_859.jpg,Two straight freeways in the desert with some cars on them .,landscape,12
RSICD,train,RSICD_4700.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4700.jpg,some red buildings and many green trees are in a medium residential area .,vegetation,14
NWPU,train,NWPU_2880.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_2880.jpg,There are two bridges over the river with some cars on it .,water,13
NWPU,train,NWPU_4386.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_4386.jpg,A church with a brown roof  The main house of the church has a cross-shaped roof  There are many pedestrians in the square next to the church .,urban,28
RSICD,train,RSICD_6405.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_6405.jpg,many green trees are around a pond near an ocean .,vegetation,11
UCM,train,UCM_1264.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1264.jpg,It is a medium residential area .,urban,7
RSICD,train,RSICD_1807.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1807.jpg,a center building is near a crossroads with some cars .,urban,11
RSICD,train,RSICD_522.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_522.jpg,it is a piece of irregular bare land.,landscape,8
NWPU,train,NWPU_8217.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_8217.jpg,This is a yellow desert with wavy stripes .,landscape,9
UCM,train,UCM_1948.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1948.jpg,Two small storage tanks next to a white building are on the ground .,urban,14
NWPU,train,NWPU_30915.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_30915.jpg,One plane is parked at the marked airport .,airport,9
RSICD,train,RSICD_3903.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3903.jpg,some buildings and bare land are in an industrial area.,landscape,10
NWPU,train,NWPU_1860.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_1860.jpg,A basketball court next to a parking lot and the medium residential area beside .,urban,15
NWPU,train,NWPU_11549.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11549.jpg,There were many white ships in the harbor .,water,9
RSICD,train,RSICD_4588.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4588.jpg,on the lawn is a road with houses and gardens built along .,transportation,13
RSICD,train,RSICD_1550.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1550.jpg,the bridge on the river .,transportation,6
NWPU,train,NWPU_8205.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_8205.jpg,This is a desert mixed with brown and yellow with wavy stripes beside the brown bare ground .,landscape,18
UCM,train,UCM_861.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_861.jpg,Two straight freeways in the desert with no car on them .,landscape,12
RSICD,train,RSICD_3407.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3407.jpg,many pieces of green farmlands are together .,vegetation,8
RSICD,train,RSICD_7044.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7044.jpg,green plants and bare land are in two sides of a railway station.,vegetation,13
NWPU,train,NWPU_6523.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_6523.jpg,In a business district there are several tall buildings of different shapes and several roads with many cars  There are many cars in the open space beside the road .,transportation,30
NWPU,train,NWPU_25973.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_25973.jpg,A sparse residential area with many withered trees and a black building .,urban,13
UCM,train,UCM_160.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_160.jpg,A blue airplane is stopped at the airport .,airport,9
RSICD,train,RSICD_5583.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5583.jpg,many cars are parked in a parking lot near several green trees .,vegetation,13
UCM,train,UCM_153.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_153.jpg,One airplane with red fuselage is stopped at the airport with some luggage cars beside it .,airport,17
RSICD,train,RSICD_1087.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1087.jpg,an ocean with white waves is near a yellow beach .,water,11
NWPU,train,NWPU_7790.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_7790.jpg,This is a yellow desert with wavy stripes and sunlight shining on the desert.,landscape,14
RSICD,train,RSICD_3446.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3446.jpg,the little farm consists of grass and crops .,vegetation,9
NWPU,train,NWPU_1521.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_1521.jpg,There is a basketball court in the middle of grass with a road pass by .,vegetation,16
NWPU,train,NWPU_29596.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29596.jpg,There are many black buildings and several chimneys on the thermal power station .,infrastructure,14
RSICD,train,RSICD_4934.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4934.jpg,a river is between many pieces of khaki mountains .,water,10
UCM,train,UCM_752.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_752.jpg,A dense forest with lots of green plants .,vegetation,9
RSICD,train,RSICD_1546.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1546.jpg,many cars passed over the bridge .,transportation,7
NWPU,train,NWPU_12010.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_12010.jpg,There are many houses of different shapes and sizes in the industrial zone .,infrastructure,14
RSICD,train,RSICD_9831.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9831.jpg,several buildings and many green meadows are near a viaduct .,vegetation,11
RSICD,train,RSICD_9429.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9429.jpg,the storage tank is next to the green sea .,vegetation,10
RSICD,train,RSICD_7302.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7302.jpg,many buildings and green trees are near an ocean .,vegetation,10
RSICD,train,RSICD_8035.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8035.jpg,many green trees around a football field and a basketball field in a school .,vegetation,15
RSICD,train,RSICD_8714.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8714.jpg,there is a round square with a statue in the center sandwiched between a lake and some trees .,water,19
NWPU,train,NWPU_19880.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_19880.jpg,These railways go through the green area and lots of trains are on the railways .,vegetation,16
UCM,train,UCM_1737.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1737.jpg,It is a straight runway with some mark lines on it .,airport,12
RSICD,train,RSICD_9608.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9608.jpg,many bare land are near a viaduct.,landscape,7
NWPU,train,NWPU_9258.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_9258.jpg,The freeway goes through the forest .,vegetation,7
NWPU,train,NWPU_16549.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_16549.jpg,The mobile home park is next to the bare land .,vegetation,11
RSICD,train,RSICD_10409.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_10409.jpg,a playground semi-surrounded by green trees is next to a large building .,vegetation,13
